,filename,pBlockIODelays,pChildrenKernelMode,pChildrenUserMode,pCmdLine,pCpuTimeKernelMode,pCpuTimeUserMode,pId,pMajorPGFault,pName,pNonvoluntaryContextSwitches,pNumThreads,pPGFault,pResidentSetSize,pVirtualMemoryBytes,pVoluntaryContextSwitches,currentTime
0,2021_08_25__06_28_38_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,391,12,0,stress-ng-cpu,39,1,74,457,55103488,68,1629872922
1,2021_08_25__06_28_42_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,1,672,12,0,stress-ng-cpu,41,1,74,457,55103488,78,1629872925
2,2021_08_25__06_28_45_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,1,962,12,0,stress-ng-cpu,43,1,74,457,55103488,88,1629872928
3,2021_08_25__06_28_48_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,1,1248,12,0,stress-ng-cpu,44,1,74,457,55103488,99,1629872931
4,2021_08_25__06_28_51_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,1,1541,12,0,stress-ng-cpu,46,1,74,457,55103488,109,1629872934
5,2021_08_25__06_28_54_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,1,1832,12,0,stress-ng-cpu,48,1,74,457,55103488,118,1629872937
6,2021_08_25__06_28_57_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,2,2117,12,0,stress-ng-cpu,49,1,74,457,55103488,128,1629872940
7,2021_08_25__06_29_00_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,2,2393,12,0,stress-ng-cpu,52,1,74,457,55103488,138,1629872943
8,2021_08_25__06_29_03_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,2,2687,12,0,stress-ng-cpu,53,1,74,457,55103488,148,1629872946
9,2021_08_25__06_29_06_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,3,2990,12,0,stress-ng-cpu,55,1,74,457,55103488,158,1629872949
10,2021_08_25__06_29_09_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,4,3271,12,0,stress-ng-cpu,58,1,74,457,55103488,168,1629872952
11,2021_08_25__06_29_12_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,4,3557,12,0,stress-ng-cpu,60,1,74,457,55103488,178,1629872955
12,2021_08_25__06_29_15_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,4,3842,12,0,stress-ng-cpu,62,1,74,457,55103488,188,1629872958
